DATE,FCSUM,,,
1/31/2012,6044,,,
2/29/2012,59164,,,
3/31/2012,65298,,,
4/30/2012,11926,,,
5/31/2012,2457,,,
6/30/2012,483,,,
7/31/2012,680,,,
8/31/2012,838,,,
9/30/2012,263,,,
10/31/2012,930,,,
11/30/2012,1763,,, 
12/31/2012,9638,,,
1/31/2013,19722,,,
2/28/2013,37075,,,
3/31/2013,83749,,,
4/30/2013,35323,,,
5/31/2013,4839,,,
6/30/2013,700,,,
7/31/2013,224,,,
8/31/2013,380,,,
9/30/2013,240,,,
10/31/2013,1058,,,
11/30/2013,1489,,,
12/31/2013,7677,,,
1/31/2014,17140,,,
2/28/2014,37360,,,
3/31/2014,93614,,,
4/30/2014,26589,,,
5/31/2014,4193,,,
6/30/2014,576,,,
7/31/2014,302,,,
8/31/2014,423,,,
9/30/2014,816,,,
10/31/2014,942,,,
11/30/2014,2149,,,
12/31/2014,10374,,,
1/31/2015,25054,,,
2/28/2015,39343,,,
3/31/2015,67836,,,
4/30/2015,35551,,,
5/31/2015,4991,,,
6/30/2015,1156,,,
7/31/2015,654,,,
8/31/2015,666,,,
9/30/2015,553,,,
10/31/2015,684,,,
11/30/2015,2369,,,
12/31/2015,7744,,,
1/31/2016,14551,,,
2/29/2016,45642,,,
3/31/2016,84138,,,
4/30/2016,64748,,,
5/31/2016,10850,,,
6/30/2016,764,,,
7/31/2016,238,,,
8/31/2016,372,,,
9/30/2016,323,,,
10/31/2016,629,,,
11/30/2016,2466,,,
12/31/2016,7091,,,
1/31/2017,8882,,,
2/28/2017,32261,,,
3/31/2017,59844,,,
4/30/2017,15976,,,
5/31/2017,2281,,,
6/30/2017,378,,,
7/31/2017,154,,,
8/31/2017,387,,,
9/30/2017,776,,,
10/31/2017,375,,,
11/30/2017,1227,,,
12/31/2017,7117,,,
1/31/2018,10388,,,
2/28/2018,21882,,,
3/31/2018,41105,,,
4/30/2018,23360,,,
5/31/2018,1981,,,
6/30/2018,267,,,
7/31/2018,220,,,
8/31/2018,321,,,
9/30/2018,498,,,
10/31/2018,610,,,
11/30/2018,2948,,,
12/31/2018,10182,,,
1/31/2019,20070,,,
2/28/2019,47869,,,
3/31/2019,82958,,,
4/30/2019,41721,,,
5/31/2019,12096,,,
6/30/2019,567,,,
7/31/2019,573,,,
8/31/2019,316,,,
9/30/2019,1056,,,
10/31/2019,1474,,,
11/30/2019,3845,,,
12/31/2019,19118,,,
1/31/2020,39356,,,
2/29/2020,58733,,,
3/31/2020,70493,,,
4/30/2020,31446,,,
5/31/2020,4437,,,
6/30/2020,417,,,
7/31/2020,471,,,
8/31/2020,613,,,
9/30/2020,303,,,
10/31/2020,177,,,
11/30/2020,2718,,,
12/31/2020,7833,,,
1/31/2021,16191,,,
2/28/2021,41707,,,
3/31/2021,35162,,,
4/30/2021,5632,,,
5/31/2021,2556,,,
6/30/2021,553,,,
7/31/2021,460,,,
8/31/2021,803,,,
9/30/2021,150,,,
10/31/2021,200,,,
11/30/2021,1334,,,
12/31/2021,6220,,,
1/31/2022,11017,,,
2/28/2022,11127,,,
3/31/2022,13804,,,
4/30/2022,8802,,,
5/31/2022,884,,,
6/30/2022,421,,,
7/31/2022,422,,,
8/31/2022,424,,,
9/30/2022,256,,,
10/31/2022,391,,,
11/30/2022,1672,,,
12/31/2022,4560,,,
1/31/2023,13564,,,
2/28/2023,43076,,,
3/31/2023,64041,,,
4/30/2023,41344,,,
5/31/2023,7994,,,
6/30/2023,718,,,
7/31/2023,384,,,
8/31/2023,872,,,
9/30/2023,330,,,
10/31/2023,352,,,
11/30/2023,2101,,,
12/31/2023,4989,,,
1/31/2024,7507,,,
2/29/2024,29566,,,
3/31/2024,46289,,,
4/30/2024,38861,,,
5/31/2024,10218,,,
6/30/2024,360,,,
